iter	Passed	Remaining
543	1913	1603
544	1916	1599
545	1919	1595
546	1923	1593
547	1926	1589
548	1930	1585
549	1933	1582
550	1936	1578
551	1940	1575
552	1944	1571
553	1947	1567
554	1950	1564
555	1953	1560
556	1957	1556
557	1960	1553
558	1963	1549
559	1966	1545
560	1969	1541
561	1975	1539
562	1978	1535
563	1981	1531
564	1984	1527
565	1988	1524
566	1992	1521
567	1995	1517
568	1998	1513
569	2001	1509
570	2005	1506
571	2008	1502
572	2011	1499
573	2015	1495
574	2018	1491
575	2022	1488
576	2025	1485
577	2029	1481
578	2032	1477
579	2035	1474
580	2039	1471
581	2043	1467
582	2046	1463
583	2050	1460
584	2088	1481
585	2094	1479
586	2099	1477
587	2106	1476
588	2112	1474
589	2118	1472
590	2124	1470
591	2133	1470
592	2140	1469
593	2146	1467
594	2152	1464
595	2158	1463
596	2164	1461
597	2168	1457
598	2171	1454
599	2175	1450
600	2181	1447
601	2195	1451
602	2199	1448
603	2204	1445
604	2207	1441
605	2211	1437
606	2214	1434
607	2218	1430
608	2222	1426
609	2225	1422
610	2229	1419
611	2232	1415
612	2237	1412
613	2241	1408
614	2246	1406
615	2251	1403
616	2255	1400
617	2259	1396
618	2263	1393
619	2267	1389
620	2270	1385
621	2274	1382
622	2277	1378
623	2281	1374
624	2285	1371
625	2289	1367
626	2292	1363
627	2296	1360
628	2300	1356
629	2304	1353
630	2307	1349
631	2311	1345
632	2315	1342
633	2318	1338
634	2322	1334
635	2325	1330
636	2329	1327
637	2333	1323
638	2336	1320
639	2339	1316
640	2343	1312
641	2346	1308
642	2350	1304
643	2353	1301
644	2357	1297
645	2360	1293
646	2364	1289
647	2368	1286
648	2371	1282
649	2374	1278
650	2377	1274
651	2382	1271
652	2385	1267
653	2389	1264
654	2392	1260
655	2396	1256
656	2400	1253
657	2404	1249
658	2407	1245
659	2411	1242
660	2415	1238
661	2419	1235
662	2422	1231
663	2426	1227
664	2430	1224
665	2434	1221
666	2438	1217
667	2442	1213
668	2445	1210
669	2449	1206
670	2452	1202
671	2456	1198
672	2459	1195
673	2463	1191
674	2467	1188
675	2471	1184
676	2474	1180
677	2478	1176
678	2481	1173
679	2485	1169
680	2488	1165
681	2491	1161
682	2495	1158
683	2499	1154
684	2502	1150
685	2506	1147
686	2509	1143
687	2514	1140
688	2517	1136
689	2520	1132
690	2523	1128
691	2527	1124
692	2531	1121
693	2534	1117
694	2537	1113
695	2540	1109
696	2545	1106
697	2548	1102
698	2551	1098
699	2554	1094
700	2557	1090
701	2561	1087
702	2564	1083
703	2567	1079
704	2570	1075
705	2574	1071
706	2578	1068
707	2581	1064
708	2584	1060
709	2587	1057
710	2591	1053
711	2595	1049
712	2598	1046
713	2602	1042
714	2605	1038
715	2608	1034
716	2612	1031
717	2615	1027
718	2618	1023
719	2622	1019
720	2625	1015
721	2628	1012
722	2632	1008
723	2635	1004
724	2638	1000
725	2641	997
726	2645	993
727	2648	989
728	2651	985
729	2655	982
730	2658	978
731	2661	974
732	2664	970
733	2668	966
734	2671	963
735	2674	959
736	2678	955
737	2681	951
738	2684	948
739	2687	944
740	2691	940
741	2697	937
742	2701	934
743	2704	930
744	2707	926
745	2711	923
746	2714	919
747	2717	915
748	2720	911
749	2723	907
750	2727	904
751	2730	900
752	2733	896
753	2737	892
754	2740	889
755	2744	885
756	2747	882
757	2751	878
758	2754	874
759	2757	870
760	2761	867
761	2764	863
762	2767	859
763	2770	855
764	2773	852
765	2777	848
766	2780	844
767	2783	840
768	2786	836
769	2789	833
770	2793	829
771	2796	825
772	2799	822
773	2802	818
774	2806	814
775	2810	811
776	2813	807
777	2816	803
778	2819	799
779	2823	796
780	2826	792
781	2830	788
782	2833	785
783	2837	781
784	2841	778
785	2844	774
786	2847	770
787	2851	767
788	2854	763
789	2857	759
790	2861	756
791	2864	752
792	2868	748
793	2872	745
794	2876	741
795	2880	738
796	2883	734
797	2886	730
798	2891	727
799	2894	723
800	2898	720
801	2901	716
802	2904	712
803	2909	709
804	2913	705
805	2916	701
806	2919	698
807	2923	694
808	2927	691
809	2930	687
810	2933	683
811	2937	680
812	2941	676
813	2944	672
814	2948	669
815	2951	665
816	2955	661
817	2959	658
818	2962	654
819	2966	651
820	2969	647
821	2974	644
822	2978	640
823	2981	636
824	2985	633
825	2989	629
826	2992	626
827	2996	622
828	2999	618
829	3002	615
830	3007	611
831	3010	607
832	3014	604
833	3017	600
834	3021	597
835	3025	593
836	3028	589
837	3032	586
838	3036	582
839	3040	579
840	3043	575
841	3047	571
842	3050	568
843	3054	564
844	3057	560
845	3060	557
846	3065	553
847	3069	550
848	3072	546
849	3076	542
850	3080	539
851	3083	535
852	3087	532
853	3091	528
854	3095	524
855	3099	521
856	3102	517
857	3106	514
858	3109	510
859	3113	506
860	3117	503
861	3120	499
862	3124	495
863	3128	492
864	3131	488
865	3135	485
866	3138	481
867	3143	477
868	3147	474
869	3150	470
870	3154	467
871	3158	463
872	3163	460
873	3166	456
874	3170	452
875	3173	449
876	3177	445
877	3181	442
878	3184	438
879	3188	434
880	3191	431
881	3195	427
882	3199	423
883	3202	420
884	3206	416
885	3210	413
886	3213	409
887	3217	405
888	3220	402
889	3224	398
890	3228	394
891	3232	391
892	3236	387
893	3240	384
894	3244	380
895	3248	377
896	3251	373
897	3254	369
898	3258	366
899	3262	362
900	3266	358
901	3269	355
902	3272	351
903	3276	347
904	3280	344
905	3283	340
906	3286	337
907	3290	333
908	3294	329
909	3297	326
910	3300	322
911	3304	318
912	3308	315
913	3312	311
914	3315	308
915	3319	304
916	3322	300
917	3327	297
918	3331	293
919	3334	289
920	3338	286
921	3342	282
922	3345	279
923	3349	275
924	3352	271
925	3356	268
926	3360	264
927	3363	260
928	3366	257
929	3370	253
930	3374	250
931	3378	246
932	3381	242
933	3384	239
934	3388	235
935	3392	231
936	3395	228
937	3398	224
938	3401	220
939	3406	217
940	3409	213
941	3413	210
942	3416	206
943	3420	202
944	3424	199
945	3427	195
946	3431	192
947	3434	188
948	3437	184
949	3441	181
950	3445	177
951	3448	173
952	3451	170
953	3455	166
954	3459	163
955	3462	159
956	3465	155
957	3468	152
958	3472	148
959	3476	144
960	3479	141
961	3482	137
962	3486	133
963	3491	130
964	3494	126
965	3497	123
966	3501	119
967	3505	115
968	3508	112
969	3511	108
970	3514	104
971	3517	101
972	3521	97
973	3524	94
974	3527	90
975	3531	86
976	3535	83
977	3539	79
978	3542	75
979	3545	72
980	3549	68
981	3554	65
982	3557	61
983	3560	57
984	3563	54
985	3566	50
986	3570	47
987	3573	43
988	3577	39
989	3580	36
990	3584	32
991	3588	28
992	3591	25
993	3594	21
994	3598	18
995	3601	14
996	3606	10
997	3609	7
998	3613	3
999	3616	0
