iter	Logloss
0	0.6921418945
1	0.6911393066
2	0.6902904297
3	0.6894183105
4	0.6885500488
5	0.6878328125
6	0.6871506348
7	0.6864140625
8	0.6855952148
9	0.6849462891
10	0.6843149414
11	0.6836781738
12	0.683144873
13	0.6827095215
14	0.6820577148
15	0.6815624023
16	0.6811354004
17	0.6808098633
18	0.6802955566
19	0.6799037109
20	0.679494043
21	0.6790437012
22	0.6786915039
23	0.6782210449
24	0.6778734863
25	0.6775137695
26	0.6771585449
27	0.676853418
28	0.6765366211
29	0.6762471191
30	0.675890625
31	0.6756056641
32	0.6753524414
33	0.6750341309
34	0.6747485352
35	0.6744945801
36	0.6742422363
37	0.6739969727
38	0.6738192871
39	0.6735928711
40	0.6733592773
41	0.6731896973
42	0.6730342285
43	0.6728365234
44	0.6726742187
45	0.6724277344
46	0.6722536133
47	0.6721025391
48	0.6719087402
49	0.6717654785
50	0.6715875
51	0.6713626953
52	0.6712038086
53	0.6710151855
54	0.6707813965
55	0.6705825684
56	0.6704474609
57	0.6702499023
58	0.6700890625
59	0.6699008301
60	0.6698058594
61	0.6696486816
62	0.6695976563
63	0.6694951172
64	0.6693633301
65	0.6691407227
66	0.6689189453
67	0.6687731934
68	0.6685815918
69	0.6684117188
70	0.6682530762
71	0.6681775391
72	0.6680668945
73	0.6680196289
74	0.6679073242
75	0.6677224609
76	0.6675555664
77	0.6674085937
78	0.667259668
79	0.6670637695
80	0.6668977539
81	0.6667819336
82	0.6666503418
83	0.6665299316
84	0.6664542969
85	0.6663320312
86	0.6662250488
87	0.6660816406
88	0.6659181641
89	0.6657880859
90	0.6656884277
91	0.6655599609
92	0.665397168
93	0.6652755859
94	0.6652021484
95	0.6650672852
96	0.6649665039
97	0.6649373047
98	0.6648645508
99	0.6647992676
100	0.66473125
101	0.6646266602
102	0.6644927246
103	0.6644113281
104	0.6642863281
105	0.6640963379
106	0.663971582
107	0.6638803711
108	0.6637770508
109	0.663709082
110	0.6636536621
111	0.6635050781
112	0.6633697266
113	0.6633081543
114	0.6631814453
115	0.6631368164
116	0.6630120117
117	0.6629155273
118	0.6628087402
119	0.6627352539
120	0.6626621094
121	0.6625990234
122	0.6625249023
123	0.6624210449
124	0.6623574219
125	0.6622609375
126	0.6622104492
127	0.6621535156
128	0.6620793945
129	0.6619776367
130	0.6618371094
131	0.6617378906
132	0.6617166016
133	0.6615202637
134	0.6614664062
135	0.6613157715
136	0.6612787598
137	0.6611750977
138	0.6610523437
139	0.6609204102
140	0.6608349609
141	0.6607396484
142	0.6606348145
143	0.6605791992
144	0.6605179688
145	0.6603791992
146	0.6602946289
147	0.660265332
148	0.6601399414
149	0.6600808105
150	0.6600287109
151	0.6599676758
152	0.6599078125
153	0.6597779297
154	0.6596679688
155	0.6596295898
156	0.6594853027
157	0.6593760742
158	0.6593423828
159	0.6592245117
160	0.6590850586
161	0.6590114746
162	0.6589428711
163	0.6589209473
164	0.6588527344
165	0.6588196289
166	0.6587419922
167	0.6586505371
168	0.6585466797
169	0.6584318359
170	0.6583647461
171	0.6583100586
172	0.6582438965
173	0.6581753418
174	0.658091748
175	0.6579951172
176	0.6579280273
177	0.6578269043
178	0.6578115234
179	0.6576889648
180	0.657572998
181	0.6575303711
182	0.6574626465
183	0.6573946289
184	0.6573319824
185	0.6572413086
186	0.6571496582
187	0.657031543
188	0.6569785156
189	0.6568827148
190	0.6568140625
191	0.6566978027
192	0.6566491211
193	0.6565274414
194	0.6565033203
195	0.6564793945
196	0.6563395996
197	0.6562574219
198	0.6561896484
199	0.6560658203
200	0.6560313477
201	0.6559442383
202	0.6558302734
203	0.6557338379
204	0.655664502
205	0.6556046875
206	0.6555051758
207	0.6554194824
208	0.6553086914
209	0.6552833008
210	0.6552491699
211	0.6551366211
212	0.655098584
213	0.6550731934
214	0.6549901855
215	0.6548908203
216	0.6548641113
217	0.6547635254
218	0.6546246094
219	0.6545180176
220	0.6544428223
221	0.6543394043
222	0.654248877
223	0.6541788086
224	0.6541000977
225	0.6539987305
226	0.6539121582
227	0.6538083008
228	0.6537583008
229	0.6536748047
230	0.6536473633
231	0.6535989258
232	0.6535278809
233	0.6534824219
234	0.6533724609
235	0.6533199219
236	0.6533118164
237	0.6531797852
238	0.653102002
239	0.6530687012
240	0.6530099609
241	0.6529289551
242	0.6528442383
243	0.652784082
244	0.6527059082
245	0.6526575195
246	0.6525753418
247	0.6525551758
248	0.6524930664
249	0.6524163086
250	0.6523589355
251	0.6522987793
252	0.652245752
253	0.6522214355
254	0.6521580078
255	0.6520919434
256	0.6519976562
257	0.6519131836
258	0.6518461426
259	0.6517725098
260	0.6516984375
261	0.6516310547
262	0.6514583496
263	0.6513974609
264	0.651302832
265	0.6512585937
266	0.6512223145
267	0.6511626953
268	0.651053418
269	0.6510347168
270	0.6509379883
271	0.6508432617
272	0.6507572754
273	0.6506780273
274	0.6506376465
275	0.6506118164
276	0.6505110352
277	0.6504337891
278	0.6503401367
279	0.6502788086
280	0.6502192871
281	0.6501669434
282	0.650037793
283	0.6499485352
284	0.6498770508
285	0.6497657227
286	0.6496533691
287	0.6495838379
288	0.6495596191
289	0.6494961426
290	0.6494070801
291	0.6493441406
292	0.6492711914
293	0.6492504883
294	0.6491599609
295	0.6490823242
296	0.6490428711
297	0.648826709
298	0.6488040039
299	0.6487174805
300	0.6486416992
301	0.6485734375
302	0.6485356934
303	0.6484595703
304	0.6484108887
305	0.6483613281
306	0.6482666992
307	0.6482264648
308	0.6481384766
309	0.6480922852
310	0.6480701172
311	0.6479418457
312	0.6478770508
313	0.647812207
314	0.647744043
315	0.6476779297
316	0.6475704102
317	0.6474688477
318	0.6474318359
319	0.6473698242
320	0.6472828125
321	0.6472519531
322	0.6471383789
323	0.6470444336
324	0.6469941406
325	0.6469664551
326	0.6469424805
327	0.6468319824
328	0.6467714355
329	0.6467020996
330	0.6466064453
331	0.6465038574
